CodiceSoggetto,NumeroSoggetto,Condizione,BlockIdx,Trial,Modality,Stretch,BallsPopped,TrialDuration_s
EDME,2,1,1,1,Hand,Stretch1,3,3,00
EDME,2,1,1,2,Hand,Stretch1,4,3,00
EDME,2,1,1,3,Hand,Stretch1,5,3,00
EDME,2,1,1,4,Hand,Stretch1,4,3,00
EDME,2,1,1,5,Hand,Stretch1,4,3,00
EDME,2,1,2,1,Hand,Stretch2,10,3,00
EDME,2,1,2,2,Hand,Stretch2,10,3,00
EDME,2,1,2,3,Hand,Stretch2,10,3,00
EDME,2,1,2,4,Hand,Stretch2,10,3,00
EDME,2,1,2,5,Hand,Stretch2,10,3,00
EDME,2,1,3,1,Pinza,Baseline,0,3,00
EDME,2,1,3,2,Pinza,Baseline,3,3,00
EDME,2,1,3,3,Pinza,Baseline,3,3,00
EDME,2,1,3,4,Pinza,Baseline,3,3,00
EDME,2,1,3,5,Pinza,Baseline,3,3,00
EDME,2,1,4,1,Pinza,Stretch1,6,3,00
EDME,2,1,4,2,Pinza,Stretch1,6,3,00
EDME,2,1,4,3,Pinza,Stretch1,6,3,00
EDME,2,1,4,4,Pinza,Stretch1,6,3,00
EDME,2,1,4,5,Pinza,Stretch1,6,3,00
EDME,2,1,5,1,Pinza,Stretch2,10,3,00
EDME,2,1,5,2,Pinza,Stretch2,10,3,00
EDME,2,1,5,3,Pinza,Stretch2,10,3,00
EDME,2,1,5,4,Pinza,Stretch2,10,3,00
EDME,2,1,5,5,Pinza,Stretch2,10,3,00
EDME,2,1,6,1,Hand,Stretch1,0,3,00
EDME,2,1,6,2,Hand,Stretch1,5,3,00
EDME,2,1,6,3,Hand,Stretch1,6,3,00
EDME,2,1,6,4,Hand,Stretch1,5,3,00
EDME,2,1,6,5,Hand,Stretch1,5,3,00
