CodiceSoggetto,NumeroSoggetto,Condizione,Block,Trial,TrialType,RT_ms,Timeout
pro ,22,1 ,1,1,UNHELPFUL,0,1
pro ,22,1 ,1,2,UNHELPFUL,0,1
pro ,22,1 ,1,3,UNHELPFUL,0,1
pro ,22,1 ,1,4,UNHELPFUL,0,1
pro ,22,1 ,1,5,UNHELPFUL,0,1
pro ,22,1 ,1,6,UNHELPFUL,0,1
pro ,22,1 ,1,7,UNHELPFUL,0,1
pro ,22,1 ,1,8,UNHELPFUL,0,1
pro ,22,1 ,1,9,UNHELPFUL,0,1
pro ,22,1 ,1,10,UNHELPFUL,0,1
pro ,22,1 ,1,11,HELPFUL,0,1
pro ,22,1 ,1,12,HELPFUL,0,1
pro ,22,1 ,1,13,HELPFUL,0,1
pro ,22,1 ,1,14,HELPFUL,0,1
pro ,22,1 ,1,15,HELPFUL,0,1
pro ,22,1 ,1,16,UNHELPFUL,0,1
pro ,22,1 ,1,17,UNHELPFUL,0,1
pro ,22,1 ,1,18,UNHELPFUL,0,1
pro ,22,1 ,1,19,UNHELPFUL,0,1
pro ,22,1 ,1,20,HELPFUL,0,1
pro ,22,1 ,1,21,HELPFUL,0,1
pro ,22,1 ,1,22,HELPFUL,0,1
pro ,22,1 ,1,23,HELPFUL,0,1
